ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
6865,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,424244,383145,*,*,15000,17000,15000,11100,0
10429,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,263190,202907,*,*,10900,10063,7708,5394,0
14565,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,409337,406573,*,*,40000,12389,12000,10000,0
15081,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,425957,298509,*,*,338394,16000,500,19999,0
18210,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,318340,268942,*,*,14000,15000,12000,10000,0
23191,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,251815,218706,*,*,10143,7190,6283,5208,0
24119,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,250600,296217,*,*,30876,60044,50539,100562,0
25896,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,283758,273018,*,*,90168,25001,10000,11000,0
344,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,-1005,1005,*,*,26000,0,101005,1898,0
3775,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,104491,35234,*,*,38139,104673,35387,177258,0
